yr,mo,dy,hh,mm,ss,lat,lon,max,ML,MN,MB,MW,MS,MC,MD,MZ,Mpf,Tmpf,Dep,Dep_err,DD,flag,zf,mf,MwAsg,eventType,latGSC,lonGSC,mGSC,mtGSC,latANSS,lonANSS,mANSS,mtANSS,latAGS,lonAGS,mAGS,mtAGS,MwNMX,MwNA15,MwGSC,MwAGS,MwANSS
1906,11,1,17,49,0,48.5,-117.9,4.3,4.3,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,4.3,ML,0,-9.99,Z,4,0,-0.06,4.2,3,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,-9.99,-9.99
1918,2,4,20,37,0,52.28,-118.37,6,6,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,6,ML,0,-9.99,Z,4,0,-0.06,5.9,3,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,-9.99,-9.99
1925,8,10,16,30,0,49.3,-112.5,4.3,4.3,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,4.3,ML,0,-9.99,Z,4,0,-0.06,4.2,3,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,-9.99,-9.99
1934,11,3,14,50,0,48,-121,4.9,4.9,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,4.9,4.9,ML,0,-9.99,Z,4,0,-0.06,4.8,3,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,-9.99,-9.99
1936,3,28,9,15,0,50.5,-119.5,4.5,4.5,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,4.5,ML,0,-9.99,Z,4,0,-0.06,4.4,3,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,-9.99,-9.99
1941,4,7,9,25,0,48.3,-119.6,4.5,4.5,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,4.5,ML,0,-9.99,Z,4,0,-0.06,4.4,3,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,-9.99,-9.99
1942,10,14,11,30,0,48.3,-120.6,4.3,4.3,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,4.3,ML,0,-9.99,Z,4,0,-0.06,4.2,3,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,-9.99,-9.99
1942,11,1,18,50,0,48,-116.7,5.5,5.5,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,5.5,ML,0,-9.99,Z,4,0,-0.06,5.4,3,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,-9.99,-9.99
1945,9,23,9,57,0,48,-114.25,5.5,5,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,5.5,5,ML,0,-9.99,Z,4,0,-0.06,4.9,3,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,-9.99,-9.99
1946,12,11,13,9,0,48.4,-114.4,5,5,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,5,5,ML,0,-9.99,Z,4,0,-0.06,4.9,3,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,-9.99,-9.99
1952,4,1,0,37,0,48,-113.8,5.5,5.5,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,5.5,5.5,ML,0,-9.99,P,4,0,-0.06,5.4,3,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,-9.99,-9.99
1953,8,8,16,50,0,48,-114,5,5,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,5,5,ML,0,-9.99,P,4,0,-0.06,4.9,3,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,-9.99,-9.99
1955,6,1,4,56,0,49.48,-114.631,4.33,4.33,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,4.33,4.33,ML,0,-9.99,P,4,0,-0.06,4.3,3,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,-9.99,-9.99
1955,7,28,18,45,0,49.75,-115,2,2,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,2,ML,0,-9.99,Z,4,0,-0.06,1.9,3,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,NA,-9.99,-9.99,-9.99,-9.99,-9.99
