,Unnamed: 0,time,lat,lon,max,Mpf,Dep,flag,MwAsg,cutlat,cutlon,cellNo,label
2479,2688,2013-12-01 10:06:00,54.449,-117.288,2.97,2.96,0.06,1,3.0,53,48,5348,13.0
2480,2689,2013-12-01 15:09:00,54.45,-117.4,3.85,3.04,0.02,1,3.0,53,48,5348,13.0
2481,2690,2013-12-01 19:12:00,54.43600000000001,-117.33,2.84,2.62,0.03,1,2.6,53,48,5348,13.0
2482,2691,2013-12-01 20:26:00,54.45,-117.306,2.71,2.52,0.03,1,2.5,53,48,5348,13.0
2484,2693,2013-12-01 20:49:00,54.449,-117.323,3.05,2.75,0.02,1,2.8,53,48,5348,13.0
2485,2694,2013-12-02 02:51:00,54.429,-117.34,3.44,2.8,0.0,1,2.8,53,48,5348,13.0
2486,2695,2013-12-02 08:41:00,54.435,-117.311,3.09,2.77,0.03,1,2.8,53,48,5348,13.0
2487,2697,2013-12-03 16:04:00,54.413,-117.312,3.16,2.72,0.02,1,2.7,53,48,5348,13.0
2488,2698,2013-12-03 18:45:00,54.42,-117.298,2.98,2.52,0.04,1,2.5,53,48,5348,13.0
2489,2699,2013-12-03 21:37:00,54.432,-117.314,3.12,2.85,0.05,1,2.9,53,48,5348,13.0
2490,2701,2013-12-04 05:12:00,54.422,-117.331,2.77,2.52,0.03,1,2.5,53,48,5348,13.0
2492,2704,2013-12-05 00:02:00,54.483,-117.392,2.48,2.48,0.02,1,2.5,53,48,5348,13.0
2493,2705,2013-12-05 13:46:00,54.426,-117.335,2.83,2.46,0.03,1,2.5,53,48,5348,13.0
2494,2706,2013-12-06 06:14:00,54.489,-117.426,3.22,2.85,0.02,1,2.9,53,47,5347,13.0
2495,2707,2013-12-06 06:35:00,54.43,-117.329,2.67,2.28,0.01,1,2.3,53,48,5348,13.0
2497,2710,2013-12-06 15:51:00,54.45399999999999,-117.316,3.14,2.78,0.03,1,2.8,53,48,5348,13.0
2498,2711,2013-12-06 17:57:00,54.441,-117.394,2.82,2.69,0.03,1,2.7,53,48,5348,13.0
2500,2713,2013-12-12 01:59:00,54.46,-117.381,3.0,2.52,0.0,1,2.5,53,48,5348,13.0
2525,2739,2014-01-02 20:34:00,54.487,-117.289,3.08,3.01,0.03,1,3.0,53,48,5348,13.0
2575,2793,2014-01-27 09:38:00,54.392,-117.273,2.71,2.71,0.02,1,2.7,52,49,5249,13.0
2585,2806,2014-02-08 08:56:00,54.457,-117.269,2.42,2.42,0.03,1,2.4,53,49,5349,13.0
2586,2807,2014-02-08 11:23:00,54.445,-117.299,2.4,2.22,0.02,1,2.2,53,48,5348,13.0
2589,2810,2014-02-09 14:00:00,54.453,-117.278,2.47,2.47,0.03,1,2.5,53,49,5349,13.0
2590,2811,2014-02-09 14:23:00,54.394,-117.349,2.46,2.46,0.03,1,2.5,52,48,5248,13.0
2592,2814,2014-02-10 14:46:00,54.283,-118.035,2.11,2.11,1.0,2,2.1,51,43,5143,7.0
2603,2827,2014-02-17 01:51:00,54.407,-117.318,2.5,2.3,0.03,1,2.3,53,48,5348,13.0
2636,2867,2014-03-10 09:34:00,54.415,-117.16,2.85,2.46,0.09,1,2.5,53,49,5349,13.0
2698,2939,2014-04-09 22:59:00,54.348,-117.09,2.26,2.22,0.0,1,2.2,52,50,5250,13.0
2703,2945,2014-04-12 22:52:00,54.359,-117.144,2.63,2.63,0.03,1,2.6,52,50,5250,13.0
2704,2946,2014-04-12 22:53:00,54.357,-117.193,3.23,2.63,0.06,1,2.6,52,49,5249,13.0
2707,2949,2014-04-13 09:03:00,54.352,-117.117,2.3,2.13,0.03,1,2.1,52,50,5250,13.0
2709,2951,2014-04-13 20:07:00,54.359,-117.196,2.2,2.2,1.0,2,2.1,52,49,5249,7.0
2710,2952,2014-04-13 20:19:00,54.339,-117.143,3.01,2.53,0.03,1,2.5,52,50,5250,13.0
2711,2953,2014-04-13 21:33:00,54.358,-117.138,2.93,2.48,0.03,1,2.5,52,50,5250,13.0
2712,2955,2014-04-14 02:19:00,54.362,-117.135,2.45,2.23,0.04,1,2.2,52,50,5250,13.0
2713,2956,2014-04-14 03:23:00,54.342,-117.124,2.15,2.07,0.02,1,2.1,52,50,5250,13.0
2715,2958,2014-04-14 08:32:00,54.352,-117.124,2.29,2.19,0.02,1,2.2,52,50,5250,13.0
2744,2991,2014-05-08 09:15:00,54.364,-117.607,2.56,2.56,0.0,1,2.6,52,46,5246,13.0
2761,3009,2014-05-14 15:30:00,54.414,-117.231,2.41,2.41,0.03,1,2.4,53,49,5349,13.0
2762,3010,2014-05-14 15:30:00,54.27,-117.814,2.41,2.41,1.0,2,2.4,51,45,5145,7.0
2765,3016,2014-05-15 04:57:00,54.264,-117.608,2.31,2.31,0.05,1,2.3,51,46,5146,13.0
2766,3017,2014-05-15 06:45:00,54.379,-117.233,2.62,2.62,0.04,1,2.6,52,49,5249,13.0
2768,3019,2014-05-15 11:58:00,54.412,-117.213,3.0,3.0,0.02,1,3.0,53,49,5349,13.0
2769,3020,2014-05-15 13:08:00,54.394,-117.192,2.32,2.32,0.01,1,2.3,52,49,5249,13.0
2774,3025,2014-05-17 07:47:00,54.322,-117.594,2.29,2.12,0.04,1,2.1,52,46,5246,13.0
2775,3026,2014-05-18 11:48:00,54.36,-117.545,2.36,2.36,0.05,1,2.4,52,47,5247,13.0
2778,3029,2014-05-19 20:26:00,54.354,-117.719,2.52,2.52,0.03,1,2.5,52,45,5245,13.0
2780,3032,2014-05-25 13:17:00,54.409,-116.978,2.27,2.27,0.03,1,2.3,53,51,5351,13.0
2889,3165,2014-08-07 20:47:00,54.444,-117.719,2.72,2.72,0.03,1,2.7,53,45,5345,13.0
2890,3166,2014-08-08 07:37:00,54.362,-118.073,2.17,2.15,0.0,1,2.1,52,43,5243,13.0
2891,3167,2014-08-08 18:08:00,54.351000000000006,-118.066,2.27,2.18,0.03,1,2.2,52,43,5243,13.0
2893,3170,2014-08-09 07:40:00,54.463,-117.866,3.03,2.86,0.03,1,2.9,53,44,5344,13.0
2897,3176,2014-08-10 12:33:00,54.413,-117.68,2.94,2.89,0.03,1,2.9,53,46,5346,13.0
3160,3507,2015-02-08 09:42:00,54.375,-117.207,2.5,2.5,1.0,2,2.4,52,49,5249,7.0
3314,3691,2015-05-27 05:07:00,54.137,-116.834,2.4,2.4,1.0,2,2.3,50,52,5052,7.0
3368,3769,2015-08-08 20:30:00,54.267,-117.528,2.46,2.46,1.0,2,2.5,51,47,5147,7.0
3369,3771,2015-08-09 13:51:00,54.124,-117.708,2.78,2.78,5.0,2,2.8,50,45,5045,2.0
3377,3795,2015-08-17 08:04:00,54.333,-117.419,2.26,2.26,1.0,2,2.3,52,48,5248,7.0
3423,3897,2015-09-06 01:25:00,54.101000000000006,-117.411,2.47,2.47,5.0,2,2.5,50,48,5048,2.0
3425,3905,2015-09-07 10:18:00,54.302,-117.575,2.8,2.8,1.0,2,2.7,52,46,5246,7.0
3433,3953,2015-09-13 08:39:00,54.117,-117.322,2.82,2.82,5.0,2,2.8,50,48,5048,2.0
4136,4901,2017-01-09 03:42:00,54.29600000000001,-117.635,2.4,2.4,1.0,2,2.3,52,46,5246,7.0
4137,4903,2017-01-09 05:31:00,54.283,-117.556,2.1,2.1,5.0,2,2.0,51,47,5147,2.0
4138,4905,2017-01-09 20:34:00,54.3,-117.678,2.6,2.6,5.0,2,2.5,52,46,5246,2.0
