time,lat,lon,max,Mpf,Dep,flag,mf,MwAsg,eventType,cutlat,cutlon,cellNo
1985-01-02 23:22,51.592,-115.148,2,2,18,2,-0.06,1.9,1,29,64,2964
1985-01-05 14:18,49.784,-120.677,2,2,18,2,-0.06,1.9,1,14,24,1424
1985-01-08 1:02,51.213,-119.297,1.8,1.8,18,2,-0.06,1.7,1,26,34,2634
1985-01-17 16:18,52.241,-120.174,1.8,1.8,18,2,-0.06,1.7,1,35,27,3527
1985-01-21 13:37,49.191,-119.234,1.6,1.6,18,2,-0.06,1.5,1,9,34,934
1985-01-27 3:48,52.821,-119.445,2.5,2.5,18,2,-0.06,2.4,1,39,33,3933
1985-01-30 5:49,52.117,-120.133,2.3,2.3,18,2,-0.06,2.2,1,34,28,3428
1985-01-31 6:19,52.12,-120.152,1.9,1.9,18,2,-0.06,1.8,1,34,28,3428
1985-02-01 8:45,52.112,-120.152,2.2,2.2,18,2,-0.06,2.1,1,34,28,3428
1985-02-07 22:30,52.101,-120.115,2.6,2.6,18,2,-0.06,2.5,1,33,28,3328
1985-02-07 23:13,52.206,-115.231,1.9,1.9,5,2,-0.05,1.9,1,34,64,3464
1985-02-08 18:00,52.082,-119.401,2.8,2.8,5,2,-0.05,2.8,1,33,33,3333
1985-02-09 5:29,52.196,-115.23,2,2,5,2,-0.05,2,1,34,64,3464
1985-02-09 10:31,52.163,-115.243,2.1,2.1,5,2,-0.05,2.1,1,34,63,3463
1985-02-20 5:00,50.384,-120.651,1.8,1.8,18,2,-0.06,1.7,1,19,24,1924
1985-03-04 10:52,52.878,-116.867,2.8,2.8,18,2,-0.06,2.7,1,40,52,4052
1985-03-11 5:52,52.068,-115.127,1.2,1.2,5,2,-0.06,1.1,1,33,64,3364
1985-03-11 13:00,52.192,-115.269,3.9,3.9,5,2,-0.05,3.9,1,34,63,3463
1985-03-11 13:15,52.215,-115.215,1.3,1.3,5,2,-0.05,1.3,1,34,64,3464
1985-03-11 13:29,52.15,-115.201,1.3,1.3,5,2,-0.05,1.3,1,34,64,3464
1985-03-11 15:53,52.15,-115.181,2,2,5,2,-0.05,2,1,34,64,3464
1985-03-11 15:55,52.139,-115.19,1.6,1.6,5,2,-0.05,1.6,1,34,64,3464
1985-03-11 16:39,52.301,-115.316,1.3,1.3,5,2,-0.06,1.2,1,35,63,3563
1985-03-12 1:00,52.126,-115.195,2,2,5,2,-0.05,2,1,34,64,3464
1985-03-12 1:01,52.103,-115.168,2.1,2.1,5,2,-0.05,2.1,1,33,64,3364
1985-03-12 12:10,51.987,-115.094,1.4,1.4,5,2,-0.06,1.3,1,32,65,3265
1985-03-12 19:08,52.2,-115.21,2.2,2.2,5,2,-0.05,2.2,1,34,64,3464
1985-03-12 23:58,52.245,-115.217,1.8,1.8,5,2,-0.05,1.8,1,35,64,3564
1985-03-13 4:55,52.273,-115.2,1.3,1.3,5,2,-0.06,1.2,1,35,64,3564
1985-03-13 6:08,52.098,-115.166,1.5,1.5,5,2,-0.05,1.5,1,33,64,3364
1985-03-13 7:02,52.114,-115.13,1.5,1.5,5,2,-0.05,1.5,1,34,64,3464
1985-03-13 10:57,52.055,-115.151,2.2,2.2,5,2,-0.05,2.2,1,33,64,3364
1985-03-13 12:27,52.18,-115.159,1.3,1.3,18,2,-0.05,1.3,1,34,64,3464
1985-03-13 20:19,56.391,-121.014,2.4,2.4,18,2,-0.05,2.4,1,69,21,6921
