,Unnamed: 0,seismic_no,seismic_time,seismic_lat,seismic_lon,seismic_Dep,Mpf,well_name,well_uwi,well_date,well_lat,well_lon,well_Dep,dist,dt,dDep,Lateraldist,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,label
521,521,6179,2018-07-22 12:07:00,54.322,-117.685,3.91,2.8,ECA HZ SIMON 8-9-62-25,100080906225W500,2018-07-23 00:00:00,54.3466,-117.679575,3.9504599999999996,2.759076910755262,0.4951388888888889,0.04045999999999994,2.7587802355140223,0.003364879941521001,0.001107168859694406,0.16577188958680358,0.1428050175837045,0.12501751703194963,0.11945951704958152,0.0038419557259605506,0.0052221097761164645,0.9016136771026201,0.42427581344694554,0.013801883092354366,0.00013894743838601686,0.011052688204196009,0.039922404385541684,0.030051527577923585,0.02313677560290963,1
522,522,6180,2018-07-22 21:36:00,54.332,-117.67,3.5,2.69,ECA HZ SIMON 8-9-62-25,100080906225W500,2018-07-23 00:00:00,54.3466,-117.679575,3.9504599999999996,1.7960105675110811,0.1,0.4504600000000001,1.7386028146219816,0.004181204697775916,0.0027308772470573893,0.492417824526994,0.4551903717533999,0.4230048577089637,0.41228814645060835,0.002876445377662384,0.0038274189719827165,0.4127777012076245,0.6023483651109659,0.026078591972213305,7.238690095812306e-05,0.016568818577390128,0.04913385875330131,0.042532191245805775,0.03682928693987,1
543,543,6179,2018-07-22 12:07:00,54.322,-117.685,3.91,2.8,ECA HZ SIMON 8-9-62-25,100080906225W500,2018-07-23 00:00:00,54.3466,-117.679575,3.9504599999999996,2.759076910755262,0.4951388888888889,0.04045999999999994,2.7587802355140223,0.003364879941521001,0.001107168859694406,0.16577188958680358,0.1428050175837045,0.12501751703194963,0.11945951704958152,0.0038419557259605506,0.0052221097761164645,0.9016136771026201,0.42427581344694554,0.013801883092354366,0.00013894743838601686,0.011052688204196009,0.039922404385541684,0.030051527577923585,0.02313677560290963,1
544,544,6180,2018-07-22 21:36:00,54.332,-117.67,3.5,2.69,ECA HZ SIMON 8-9-62-25,100080906225W500,2018-07-23 00:00:00,54.3466,-117.679575,3.9504599999999996,1.7960105675110811,0.1,0.4504600000000001,1.7386028146219816,0.004181204697775916,0.0027308772470573893,0.492417824526994,0.4551903717533999,0.4230048577089637,0.41228814645060835,0.002876445377662384,0.0038274189719827165,0.4127777012076245,0.6023483651109659,0.026078591972213305,7.238690095812306e-05,0.016568818577390128,0.04913385875330131,0.042532191245805775,0.03682928693987,1
565,565,6179,2018-07-22 12:07:00,54.322,-117.685,3.91,2.8,ECA HZ SIMON 8-9-62-25,100080906225W500,2018-07-24 00:00:00,54.3466,-117.679575,3.9504599999999996,2.759076910755262,1.4951388888888888,0.04045999999999994,2.7587802355140223,0.003299111762210439,0.0010855287175921776,0.1625317991382667,0.1400138255750388,0.12257399018403425,0.11712462395555968,0.005072197109965994,0.006758889444690601,0.8839912088377536,0.4159831408224061,0.0197260347545367,0.0001362316445980269,0.012954634386918042,0.03914210199860118,0.029464156174292544,0.022684556316347946,1
566,566,6180,2018-07-22 21:36:00,54.332,-117.67,3.5,2.69,ECA HZ SIMON 8-9-62-25,100080906225W500,2018-07-24 00:00:00,54.3466,-117.679575,3.9504599999999996,1.7960105675110811,1.1,0.4504600000000001,1.7386028146219816,0.004131738026511269,0.002698568996969526,0.48659216603586913,0.44980514091446605,0.4180004047457379,0.40741047992123913,0.0038273994531754763,0.004992743369621907,0.40789424289192056,0.5952221489322671,0.03756552662874773,7.153051164155431e-05,0.019572787321543682,0.048552569719495814,0.042029004706376,0.036393569877049566,1
588,588,6179,2018-07-22 12:07:00,54.322,-117.685,3.91,2.8,ECA HZ SIMON 8-9-62-25,100080906225W500,2018-07-24 00:00:00,54.3466,-117.679575,3.9504599999999996,2.759076910755262,1.4951388888888888,0.04045999999999994,2.7587802355140223,0.003299111762210439,0.0010855287175921776,0.1625317991382667,0.1400138255750388,0.12257399018403425,0.11712462395555968,0.005072197109965994,0.006758889444690601,0.8839912088377536,0.4159831408224061,0.0197260347545367,0.0001362316445980269,0.012954634386918042,0.03914210199860118,0.029464156174292544,0.022684556316347946,1
589,589,6180,2018-07-22 21:36:00,54.332,-117.67,3.5,2.69,ECA HZ SIMON 8-9-62-25,100080906225W500,2018-07-24 00:00:00,54.3466,-117.679575,3.9504599999999996,1.7960105675110811,1.1,0.4504600000000001,1.7386028146219816,0.004131738026511269,0.002698568996969526,0.48659216603586913,0.44980514091446605,0.4180004047457379,0.40741047992123913,0.0038273994531754763,0.004992743369621907,0.40789424289192056,0.5952221489322671,0.03756552662874773,7.153051164155431e-05,0.019572787321543682,0.048552569719495814,0.042029004706376,0.036393569877049566,1
611,611,6179,2018-07-22 12:07:00,54.322,-117.685,3.91,2.8,ECA HZ SIMON 8-9-62-25,100080906225W500,2018-07-25 00:00:00,54.3466,-117.679575,3.9504599999999996,2.759076910755262,2.4951388888888895,0.04045999999999994,2.7587802355140223,0.0031711009100558866,0.0010434084542628418,0.1562253034480564,0.13458106354176022,0.11781792186432109,0.11257999982594637,0.006564859985274796,0.008576108515989018,0.8496909255807124,0.39984232469469616,0.027639286184591917,0.00013094563728079518,0.01488565610939708,0.03762332537231187,0.02832089943983171,0.021804358980184332,1
612,612,6180,2018-07-22 21:36:00,54.332,-117.67,3.5,2.69,ECA HZ SIMON 8-9-62-25,100080906225W500,2018-07-25 00:00:00,54.3466,-117.679575,3.9504599999999996,1.7960105675110811,2.1,0.4504600000000001,1.7386028146219816,0.004002669242338382,0.0026142700851772894,0.4713918172104302,0.4357539589953729,0.40494275111955624,0.39468363834383935,0.004992717907973688,0.0063849582398578745,0.3951522893451624,0.5766283759044234,0.05304939104236024,6.929601465515286e-05,0.022667279031659646,0.04703586631236908,0.0407160868730958,0.03525669387339159,1
636,636,6179,2018-07-22 12:07:00,54.322,-117.685,3.91,2.8,ECA HZ SIMON 8-9-62-25,100080906225W500,2018-07-26 00:00:00,54.3466,-117.679575,3.9504599999999996,2.759076910755262,3.495138888888889,0.04045999999999994,2.7587802355140223,0.002988193217128984,0.0009832251177614873,0.1472142972893197,0.1268184875335315,0.11102223642734611,0.1060864354071742,0.008329911605554895,0.010668190734853152,0.8006811301478219,0.37677959688539825,0.03796640102257065,0.00012339275104563253,0.016768583658725682,0.03545322866480392,0.02668736253101631,0.020546693232566998,1
637,637,6180,2018-07-22 21:36:00,54.332,-117.67,3.5,2.69,ECA HZ SIMON 8-9-62-25,100080906225W500,2018-07-26 00:00:00,54.3466,-117.679575,3.9504599999999996,1.7960105675110811,3.1,0.4504600000000001,1.7386028146219816,0.0038014756235444573,0.0024828641590073208,0.44769737237066537,0.41385084619586504,0.384588359445036,0.3748449195615803,0.006384925678288301,0.008005020675020258,0.37529001388479705,0.5476442299199559,0.07344409836700738,6.581286001199726e-05,0.025735445090281122,0.04467161496319585,0.0386694983679861,0.03348452100632921,1
654,654,5483,2015-09-01 08:19:00,54.309,-117.612,3.6,2.49,ECA 102 HZ SIMON 16-25-61-25,102162506125W500,2015-09-02 00:00:00,54.310134,-117.602129,3.92253,0.7281756980480321,0.6534722222222222,0.32253000000000004,0.6528508607084307,0.00042999015192214993,0.0005724894973221522,0.39434014797042616,0.3939750734955521,0.3907255359491828,0.3891217106055792,0.0004241005012600519,0.0005408810559370912,0.0679958846413462,0.29970146583570917,0.027070944336052928,2.5541008842350454e-06,0.007032802266507694,0.014264667216253628,0.014309078570102328,0.014013401215360937,1
660,660,5483,2015-09-01 08:19:00,54.309,-117.612,3.6,2.49,ECA 102 HZ SIMON 16-25-61-25,102162506125W500,2015-09-03 00:00:00,54.310134,-117.602129,3.92253,0.7281756980480321,1.6534722222222222,0.32253000000000004,0.6528508607084307,0.0004202638299016309,0.0005595398584073319,0.3854202244614011,0.3850634079242688,0.3818873744999183,0.38031982747963633,0.000558147009604103,0.0006978581687790556,0.06645782646225665,0.29292225716381487,0.0385692243844925,2.496327450211235e-06,0.008217159157558763,0.013942002275578548,0.013985409050306147,0.013696419879360443,1
665,665,5488,2015-09-02 10:00:00,54.315,-117.607,4.97,2.37,ECA 102 HZ SIMON 16-25-61-25,102162506125W500,2015-09-03 00:00:00,54.310134,-117.602129,3.92253,1.2206706547757729,0.5833333333333334,1.0474699999999997,0.6267722445439928,0.0003689699138367863,0.0005111142113033796,0.30884301507504336,0.3080853899967904,0.30542308960201064,0.3041466435717527,0.0001661130047727985,0.00021210753015502704,0.0302535948580583,0.1293730011474963,0.018462526519888032,1.0417499001500007e-06,0.001959619939235851,0.003977289403109095,0.004010663196408471,0.003949537509522801,1
670,670,5483,2015-09-01 08:19:00,54.309,-117.612,3.6,2.49,ECA 102 HZ SIMON 16-25-61-25,102162506125W500,2015-09-04 00:00:00,54.310134,-117.602129,3.92253,0.7281756980480321,2.6534722222222222,0.32253000000000004,0.6528508607084307,0.0004026902347904392,0.0005361423489844407,0.3693036365220238,0.3689617404917407,0.36591851489306526,0.3644165158326414,0.0007201351309244747,0.0008827101927124252,0.06367885084950672,0.280673529626025,0.053872109801591586,2.3919419553062034e-06,0.00941240422189808,0.013359008723438518,0.01340060041671044,0.013123695508840403,1
675,675,5488,2015-09-02 10:00:00,54.315,-117.607,4.97,2.37,ECA 102 HZ SIMON 16-25-61-25,102162506125W500,2015-09-04 00:00:00,54.310134,-117.602129,3.92253,1.2206706547757729,1.5833333333333333,1.0474699999999997,0.6267722445439928,0.0003611259236473087,0.0005002483528449587,0.30227727220688927,0.30153575360089396,0.2989300514744146,0.29768074161370117,0.00021892111757965105,0.00027404740154903613,0.029610428864399508,0.12662263990196362,0.026341035134930805,1.0196031730315381e-06,0.002292816759348507,0.0038927355739518986,0.003925399868461784,0.003865573662293309,1
