time,number of fractures
2013-11-27,9
2013-11-28,14
2013-12-10,16
2013-12-11,14
2013-12-12,4
2013-12-15,23
2014-01-01,1
2014-01-04,9
2014-01-05,8
2014-01-06,13
2014-01-07,19
2014-01-08,17
2014-01-09,7
2014-01-10,11
2014-01-12,4
2014-01-13,15
2014-01-14,9
2014-01-15,23
2014-01-18,1
2014-01-21,1
2014-01-23,1
2014-01-24,1
2014-01-25,10
2014-01-26,23
2014-01-27,20
2014-01-28,22
2014-02-01,12
2014-02-02,40
2014-02-03,11
2014-02-04,16
2014-02-06,24
2014-02-07,37
2014-02-08,2
2014-02-10,52
2014-02-11,4
2014-02-13,1
2014-02-14,28
2014-02-15,8
2014-02-16,7
2014-02-17,11
2014-02-19,6
2014-02-20,14
2014-02-21,16
2014-02-22,8
2014-02-23,1
2014-02-24,1
2014-02-25,3
2014-02-26,9
2014-02-27,13
2014-02-28,16
2014-03-01,2
2014-03-03,2
2014-03-04,29
2014-03-05,23
2014-03-06,3
2014-03-07,7
2014-03-08,23
2014-03-09,23
2014-03-10,7
2014-03-11,12
2014-03-12,19
2014-03-13,11
2014-03-14,5
2014-03-15,3
2014-03-16,6
2014-03-17,10
2014-03-18,10
2014-03-19,9
2014-03-20,10
2014-03-21,30
2014-03-22,3
2014-03-23,5
2014-03-24,4
2014-03-25,4
2014-03-26,4
2014-03-27,5
2014-03-28,13
2014-03-29,15
2014-03-30,9
2014-03-31,5
2014-04-01,1
2014-04-03,1
2014-04-05,1
2014-04-07,1
2014-04-08,1
2014-04-09,1
2014-04-10,1
2014-04-11,1
2014-04-12,1
2014-04-13,1
2014-04-30,16
2014-05-05,1
2014-05-06,2
2014-05-07,2
2014-05-08,1
2014-05-09,3
2014-05-10,2
2014-05-11,2
2014-05-12,3
2014-05-13,2
2014-05-14,3
2014-05-15,3
2014-05-16,3
2014-05-17,5
2014-05-18,4
2014-05-19,3
2014-05-20,3
2014-05-21,5
2014-05-22,6
2014-05-23,4
2014-05-24,4
2014-05-25,3
2014-05-26,14
2014-05-27,17
2014-05-28,19
2014-05-29,22
2014-05-30,28
2014-05-31,30
2014-06-01,10
2014-06-08,2
2014-06-09,12
2014-06-10,17
2014-06-11,1
2014-06-13,2
2014-06-14,4
2014-06-15,3
2014-06-16,1
2014-06-20,2
2014-06-21,4
2014-06-22,3
2014-06-23,2
2014-06-24,2
2014-06-28,1
2014-06-29,3
2014-06-30,1
2014-07-01,6
2014-07-02,7
2014-07-03,7
2014-07-04,4
2014-07-05,6
2014-07-06,2
2014-07-07,4
2014-07-08,1
2014-07-13,1
2014-07-14,2
2014-07-15,19
2014-07-16,2
2014-07-17,2
2014-07-18,2
2014-07-19,3
2014-07-20,3
2014-07-21,3
2014-07-22,1
2014-07-27,5
2014-07-28,9
2014-07-29,8
2014-08-03,4
2014-08-04,9
2014-08-05,27
2014-08-06,13
2014-08-07,18
2014-08-08,17
2014-08-09,13
2014-08-10,13
2014-08-11,5
2014-08-12,13
2014-08-13,22
2014-08-14,10
2014-08-15,4
2014-08-16,5
2014-08-17,5
2014-08-18,5
2014-08-19,27
2014-08-20,2
2014-08-26,1
2014-08-27,13
2014-08-28,1
2014-08-29,14
2014-08-30,4
2014-08-31,2
2014-09-01,3
2014-09-03,1
2014-09-04,13
2014-09-07,4
2014-09-08,16
2014-09-09,3
2014-09-15,1
2014-09-16,17
2014-09-17,2
2014-09-18,4
2014-09-19,3
2014-09-20,3
2014-09-21,13
2014-09-22,10
2014-09-23,10
2014-09-24,8
2014-09-25,11
2014-09-26,11
2014-09-27,5
2014-09-28,7
2014-09-29,5
2014-09-30,4
2014-10-01,7
2014-10-02,5
2014-10-03,1
2014-10-05,2
2014-10-06,14
2014-10-07,4
2014-10-12,3
2014-10-13,3
2014-10-14,32
2014-10-15,8
2014-10-16,11
2014-10-17,33
2014-10-18,12
2014-10-19,9
2014-10-20,4
2014-10-21,12
2014-10-22,14
2014-10-23,6
2014-10-24,3
2014-10-27,18
2014-10-28,35
2014-10-29,3
2014-11-03,21
2014-11-04,22
2014-11-05,3
2014-11-06,3
2014-11-07,3
2014-11-08,6
2014-11-09,5
2014-11-10,4
2014-11-11,6
2014-11-12,4
2014-11-13,6
2014-11-14,3
2014-11-15,5
2014-11-16,5
2014-11-17,4
2014-11-18,14
2014-11-19,9
2014-11-20,7
2014-11-21,34
2014-11-22,9
2014-11-23,6
2014-11-24,25
2014-11-25,10
2014-11-26,8
2014-11-27,7
2014-11-28,7
2014-11-29,5
2014-11-30,4
2014-12-01,4
2014-12-02,24
2014-12-03,18
2014-12-04,9
2014-12-05,10
2014-12-06,25
2014-12-07,24
2014-12-08,19
2014-12-09,20
2014-12-10,16
2014-12-11,12
2014-12-12,12
2014-12-13,9
2014-12-14,12
2014-12-15,15
2014-12-16,18
2014-12-17,47
2014-12-18,27
2014-12-19,23
2014-12-20,26
2014-12-21,49
2014-12-22,8
2014-12-28,8
2014-12-29,17
2014-12-30,52
2014-12-31,39
2015-01-01,20
2015-01-02,7
2015-01-03,6
2015-01-04,9
2015-01-05,7
2015-01-06,9
2015-01-07,36
2015-01-08,57
2015-01-09,19
2015-01-10,11
2015-01-11,45
2015-01-12,49
2015-01-13,22
2015-01-14,30
2015-01-15,18
2015-01-16,24
2015-01-17,12
2015-01-18,16
2015-01-19,39
2015-01-20,42
2015-01-21,21
2015-01-22,31
2015-01-23,18
2015-01-24,13
2015-01-25,15
2015-01-26,15
2015-01-27,6
2015-01-28,6
2015-01-29,9
2015-01-30,18
2015-01-31,37
2015-02-01,28
2015-02-02,39
2015-02-03,8
2015-02-04,5
2015-02-05,20
2015-02-06,18
2015-02-07,8
2015-02-08,7
2015-02-09,6
2015-02-10,35
2015-02-11,26
2015-02-12,20
2015-02-13,49
2015-02-14,39
2015-02-15,8
2015-02-16,11
2015-02-17,14
2015-02-18,20
2015-02-19,13
2015-02-20,7
2015-02-21,10
2015-02-22,36
2015-02-23,11
2015-02-24,10
2015-02-25,12
2015-02-26,10
2015-02-27,38
2015-02-28,13
2015-03-01,15
2015-03-02,15
2015-03-03,13
2015-03-04,14
2015-03-05,14
2015-03-06,10
2015-03-07,4
2015-03-08,29
2015-03-09,1
2015-03-10,2
2015-03-11,2
2015-03-12,4
2015-03-13,2
2015-03-14,4
2015-03-15,4
2015-03-16,5
2015-03-17,6
2015-03-18,6
2015-03-19,6
2015-03-20,5
2015-03-21,1
2015-03-22,3
2015-03-23,2
2015-03-24,2
2015-04-25,2
2015-04-26,1
2015-04-27,1
2015-04-28,2
2015-04-29,2
2015-04-30,1
2015-05-01,3
2015-05-02,4
2015-05-03,7
2015-05-04,3
2015-05-05,6
2015-05-06,5
2015-05-07,4
2015-05-08,2
2015-05-09,1
2015-05-10,6
2015-05-11,4
2015-05-12,5
2015-05-13,8
2015-05-14,6
2015-05-15,7
2015-05-16,6
2015-05-17,8
2015-05-18,9
2015-05-19,7
2015-05-20,9
2015-05-21,10
2015-05-22,13
2015-05-23,14
2015-05-24,17
2015-05-25,17
2015-05-26,15
2015-05-27,14
2015-05-28,16
2015-05-29,14
